Operand,Value,Delta
Swap,262281.0,-25849.0
Swap,244166.0,-7734.0
Inversion,244166.0,-7734.0
Inversion,236432.0,0.0
Swap,276333.0,-39901.0
Swap,244987.0,-8555.0
Swap,260957.0,-24525.0
Scramble,234292.0,2140.0
Inversion,240067.0,-3635.0
Scramble,236432.0,-2140.0
Scramble,294503.0,-60211.0
Scramble,244987.0,-10695.0
Scramble,273493.0,-39201.0
Inversion,236432.0,-2140.0
Swap,253145.0,-18853.0
Inversion,253145.0,-18853.0
Swap,277057.0,-42765.0
Swap,254332.0,-20040.0
Inversion,236432.0,-2140.0
Swap,253145.0,-18853.0
Inversion,236432.0,-2140.0
Scramble,252655.0,-18363.0
Scramble,290327.0,-56035.0
Inversion,236432.0,-2140.0
Swap,236432.0,-2140.0
Swap,236432.0,-2140.0
Swap,244880.0,-10588.0
Swap,260957.0,-26665.0
Swap,260957.0,-26665.0
Scramble,279925.0,-45633.0
Swap,240257.0,-5965.0
Scramble,285035.0,-50743.0
Inversion,279925.0,-45633.0
Swap,282298.0,-48006.0
Swap,246252.0,-11960.0
Swap,253145.0,-18853.0
Inversion,236432.0,-2140.0
Swap,263309.0,-29017.0
Scramble,282387.0,-48095.0
Swap,266185.0,-31893.0
Swap,236432.0,-2140.0
Inversion,236432.0,-2140.0
Scramble,236432.0,-2140.0
Swap,244880.0,-10588.0
Inversion,244880.0,-10588.0
Scramble,266185.0,-31893.0
Swap,291676.0,-57384.0
Scramble,252655.0,-18363.0
Scramble,289895.0,-55603.0
Inversion,236432.0,-2140.0
Inversion,289895.0,-55603.0
Swap,236432.0,-2140.0
Inversion,236432.0,-2140.0
Swap,291706.0,-57414.0
Scramble,288519.0,-54227.0
Swap,263309.0,-29017.0
Swap,303257.0,-68965.0
Scramble,292061.0,-57769.0
Swap,244166.0,-9874.0
Inversion,292061.0,-57769.0
Inversion,236432.0,-2140.0
Inversion,236432.0,-2140.0
Inversion,236432.0,-2140.0
Swap,236432.0,-2140.0
Inversion,236432.0,-2140.0
Swap,283963.0,-49671.0
Inversion,283963.0,-49671.0
Swap,291706.0,-57414.0
Swap,258805.0,-24513.0
Swap,277148.0,-42856.0
Inversion,236432.0,-2140.0
Scramble,236432.0,-2140.0
