Operand,Value,Delta
CX,242589.0,-3755.0
PMX,285342.0,-46508.0
PMX,242589.0,-3755.0
PMX,242589.0,-3755.0
OX,242589.0,-3755.0
OX,242589.0,-3755.0
CX,242589.0,-3755.0
CX,302233.0,-63399.0
CX,242589.0,-3755.0
PMX,242589.0,-3755.0
OX,242589.0,-3755.0
PMX,302233.0,-63399.0
OX,242589.0,-3755.0
OX,242589.0,-3755.0
PMX,242589.0,-3755.0
OX,245552.0,-6718.0
CX,245552.0,-6718.0
PMX,242589.0,-3755.0
PMX,242589.0,-3755.0
OX,242589.0,-3755.0
CX,242589.0,-3755.0
PMX,274613.0,-35779.0
PMX,242589.0,-3755.0
OX,282213.0,-43379.0
PMX,242589.0,-3755.0
PMX,257781.0,-18947.0
OX,268541.0,-29707.0
OX,242589.0,-3755.0
PMX,308919.0,-70085.0
CX,257781.0,-18947.0
CX,283627.0,-44793.0
CX,269407.0,-30573.0
CX,302394.0,-63560.0
PMX,242589.0,-3755.0
OX,242589.0,-3755.0
OX,281598.0,-42764.0
OX,268541.0,-29707.0
OX,252088.0,-13254.0
CX,268541.0,-29707.0
OX,276591.0,-37757.0
PMX,284447.0,-45613.0
OX,282176.0,-43342.0
OX,279530.0,-40696.0
CX,242589.0,-3755.0
OX,242589.0,-3755.0
PMX,242589.0,-3755.0
CX,240067.0,-1233.0
OX,242589.0,-3755.0
CX,242589.0,-3755.0
OX,245500.0,-6666.0
OX,242589.0,-3755.0
PMX,242589.0,-3755.0
PMX,285441.0,-46607.0
OX,295034.0,-56200.0
OX,281006.0,-42172.0
OX,292273.0,-53439.0
CX,249743.0,-10909.0
PMX,284473.0,-45639.0
OX,271172.0,-32338.0
CX,291751.0,-52917.0
PMX,284473.0,-45639.0
PMX,242937.0,-4103.0
OX,261988.0,-23154.0
CX,242937.0,-4103.0
PMX,259450.0,-20616.0
PMX,253692.0,-14858.0
OX,282428.0,-43594.0
CX,274613.0,-35779.0
OX,280824.0,-41990.0
CX,252742.0,-13908.0
CX,270162.0,-31328.0
CX,260350.0,-21516.0
CX,296652.0,-57818.0
PMX,252892.0,-14058.0
OX,252742.0,-13908.0
OX,263306.0,-24472.0
OX,246139.0,-7305.0
CX,246139.0,-7305.0
PMX,252742.0,-13908.0
PMX,246139.0,-7305.0
PMX,295515.0,-56681.0
CX,268012.0,-29178.0
OX,263971.0,-25137.0
OX,246139.0,-7305.0
PMX,246139.0,-7305.0
OX,246139.0,-7305.0
OX,282556.0,-43722.0
OX,246139.0,-7305.0
OX,242569.0,-3735.0
CX,246139.0,-7305.0
CX,246139.0,-7305.0
CX,251745.0,-12911.0
PMX,272536.0,-33702.0
CX,240067.0,-1233.0
CX,242569.0,-3735.0
OX,271559.0,-32725.0
PMX,240067.0,-1233.0
CX,242569.0,-3735.0
PMX,242569.0,-3735.0
PMX,240067.0,-1233.0
OX,240067.0,-1233.0
OX,242569.0,-3735.0
OX,242569.0,-3735.0
PMX,247468.0,-8634.0
CX,240067.0,-1233.0
OX,240067.0,-1233.0
CX,240067.0,-1233.0
CX,240067.0,-1233.0
CX,240067.0,-1233.0
OX,280288.0,-41454.0
PMX,278537.0,-39703.0
OX,247468.0,-8634.0
PMX,240067.0,-1233.0
PMX,240067.0,-1233.0
OX,267751.0,-28917.0
OX,240067.0,-1233.0
CX,240067.0,-1233.0
PMX,267346.0,-28512.0
OX,292867.0,-54033.0
CX,242589.0,-3755.0
PMX,240067.0,-1233.0
OX,287358.0,-48524.0
PMX,240067.0,-1233.0
OX,240067.0,-1233.0
OX,240067.0,-1233.0
CX,280852.0,-42018.0
CX,240067.0,-1233.0
OX,280852.0,-42018.0
PMX,254469.0,-15635.0
OX,281718.0,-42884.0
OX,247468.0,-8634.0
PMX,281718.0,-42884.0
PMX,280852.0,-42018.0
CX,240067.0,-1233.0
OX,240067.0,-1233.0
OX,240067.0,-1233.0
CX,272126.0,-33292.0
CX,240067.0,-1233.0
PMX,240067.0,-1233.0
OX,240067.0,-1233.0
OX,294012.0,-55178.0
OX,240067.0,-1233.0
CX,240067.0,-1233.0
OX,240067.0,-1233.0
CX,240067.0,-1233.0
CX,240067.0,-1233.0
CX,240067.0,-1233.0
OX,240067.0,-1233.0
CX,242937.0,-4103.0
CX,245552.0,-6718.0
PMX,245552.0,-6718.0
CX,280166.0,-41332.0
PMX,245552.0,-6718.0
CX,240067.0,-1233.0
PMX,240067.0,-1233.0
PMX,240067.0,-1233.0
OX,277480.0,-38646.0
OX,254469.0,-15635.0
CX,240067.0,-1233.0
PMX,240067.0,-1233.0
PMX,288436.0,-49602.0
CX,240105.0,-1271.0
PMX,268012.0,-29178.0
CX,240067.0,-3635.0
PMX,246252.0,-9820.0
PMX,240067.0,-3635.0
OX,240067.0,-3635.0
CX,300061.0,-63629.0
OX,300061.0,-63629.0
OX,296572.0,-60140.0
PMX,300061.0,-63629.0
PMX,240105.0,-3673.0
OX,268627.0,-32195.0
PMX,236432.0,0.0
CX,240067.0,-3635.0
CX,246252.0,-9820.0
CX,246252.0,-9820.0
PMX,240067.0,-3635.0
OX,284150.0,-47718.0
OX,240067.0,-3635.0
OX,236432.0,0.0
PMX,240067.0,-3635.0
CX,244166.0,-7734.0
PMX,236432.0,0.0
CX,244987.0,-8555.0
OX,246252.0,-9820.0
CX,260957.0,-24525.0
CX,276333.0,-39901.0
PMX,274613.0,-38181.0
CX,236432.0,0.0
OX,282380.0,-45948.0
CX,276333.0,-39901.0
OX,264515.0,-28083.0
OX,236432.0,-2140.0
OX,236432.0,-2140.0
CX,236432.0,-2140.0
CX,236432.0,-2140.0
CX,236432.0,-2140.0
CX,246252.0,-11960.0
OX,236432.0,-2140.0
PMX,279925.0,-45633.0
OX,236432.0,-2140.0
PMX,236432.0,-2140.0
CX,236432.0,-2140.0
CX,253145.0,-18853.0
PMX,273493.0,-39201.0
OX,284091.0,-49799.0
CX,236432.0,-2140.0
CX,254332.0,-20040.0
CX,277057.0,-42765.0
OX,236432.0,-2140.0
CX,277057.0,-42765.0
PMX,277057.0,-42765.0
OX,236432.0,-2140.0
CX,236432.0,-2140.0
OX,236432.0,-2140.0
CX,236432.0,-2140.0
OX,281034.0,-46742.0
OX,236432.0,-2140.0
PMX,260957.0,-26665.0
PMX,279925.0,-45633.0
CX,236432.0,-2140.0
OX,285035.0,-50743.0
OX,253145.0,-18853.0
OX,282788.0,-48496.0
OX,267611.0,-33319.0
OX,253145.0,-18853.0
OX,236432.0,-2140.0
CX,282387.0,-48095.0
PMX,236432.0,-2140.0
CX,282387.0,-48095.0
CX,236432.0,-2140.0
CX,283963.0,-49671.0
CX,236432.0,-2140.0
PMX,236432.0,-2140.0
PMX,236432.0,-2140.0
OX,286500.0,-52208.0
OX,289895.0,-55603.0
OX,236432.0,-2140.0
PMX,236432.0,-2140.0
PMX,291706.0,-57414.0
OX,236432.0,-2140.0
CX,236432.0,-2140.0
OX,236432.0,-2140.0
CX,236432.0,-2140.0
CX,236432.0,-2140.0
PMX,236432.0,-2140.0
PMX,236432.0,-2140.0
PMX,236432.0,-2140.0
PMX,236432.0,-2140.0
PMX,236432.0,-2140.0
PMX,244166.0,-9874.0
PMX,290098.0,-55806.0
OX,236432.0,-2140.0
PMX,236432.0,-2140.0
PMX,236432.0,-2140.0
CX,236432.0,-2140.0
PMX,283963.0,-49671.0
CX,236432.0,-2140.0
CX,236432.0,-2140.0
OX,236432.0,-2140.0
OX,236432.0,-2140.0
